BLDG ID, STREET ADDRESS, ZIP CODE, LAST REG, RC COUNT, DOCKET NO, CASE TYPE, CASE STATUS, FILING DATE, CLOSING DATE, CLOSE CODE, STAFF ID, MCI ITEM, CLAIM COST, ALLOW COST, WK BEG DT
312353, 1702 ALBEMARLE RD BROOKLYN NY, 11226, 2020, 0, FM210021OM, OM, CLOSED, 01/27/2017, 12/14/2017, GR, A66, APARTMENT WINDOWS, 408860.00, 408860.00, 11/10/2015
320157, 1824 ALBEMARLE RD BROOKLYN NY, 11226, 2017, 2, EV230032X, X, CLOSED, 10/14/2016, 10/17/2016, CW, RX-00006-16
303016, 114 ALBEMARLE RD BROOKLYN NY, 11218, 2018, 0, BN230030X, X, CLOSED, 02/15/2013, 04/12/2013, GP, RX-00003-13
320097, 414 ALBEMARLE RD BROOKLYN NY, 11218, 2020, 0, AP230052X, X, CLOSED, 04/26/2012, 04/27/2012, GP, RX-00004-12
335497, 415 ALBEMARLE RD BROOKLYN NY, 11218, 2020, 0, XH230121X, X, CLOSED, 08/31/2009, 01/04/2010, GP, RXX-000811-18
342010, 1809 ALBEMARLE RD BROOKLYN NY, 11226, 2020, 0, YC210096OM, OM, CLOSED, 03/16/2010, 01/10/2011, GP, RXX-000803-19, ELEVATOR UPGRADING, 246524.00, 236624.00, 02/14/2008
342010, 1809 ALBEMARLE RD BROOKLYN NY, 11226, 2020, 0, AP210007X, X, CLOSED, 04/05/2012, 08/08/2012, GP, RX-00009-12
342010, 1809 ALBEMARLE RD BROOKLYN NY, 11226, 2020, 0, FW210072OM, OM, CLOSED, 11/16/2017, 05/01/2018, GR, ROM-00049-18, BOILER/BURNER, 163701.00, 163701.00, 12/02/2016
302960, 1900 ALBEMARLE RD BROOKLYN NY, 11226, 2020, 0, YE230020X, X, CLOSED, 05/04/2010, 05/10/2010, CW, RXX-000811-18
302863, 2506 ALBEMARLE RD BROOKLYN NY, 11226, 2019, 0, AP210025X, X, CLOSED, 04/13/2012, 04/13/2012, CW, RX-00002-12
308051, 563 AMBOY ST BROOKLYN NY, 11212, 2020, 0, CT210028OM, OM, CLOSED, 08/15/2014, 02/06/2015, GP, ROM-00010-15, BOILER+CHIMNEY, 31783.63, 31287.40, 03/15/2013
315529, 135 AMERSFORT PL BROOKLYN NY, 11210, 2020, 1, HR230123OM, OM, OPEN, 06/14/2019, N/A, NONE, MSM, ELEVATOR UPGRADING, 96400.00, 0, 11/06/2018
311274, 155 AMITY ST BROOKLYN NY, 11201, 2020, 0, GQ210078OM, OM, CLOSED, 05/29/2018, 09/13/2018, GP, ROM-00083-18, GAS REPIPNG, 39000.00, 38419.30, 12/04/2017
311274, 155 AMITY ST BROOKLYN NY, 11201, 2020, 0, GQ210078OM, OM, CLOSED, 05/29/2018, 09/13/2018, GP, ROM-00083-18, INTERCOM, 5825.91, 5351.00, 02/14/2018
309615, 181 AMITY ST BROOKLYN NY, 11201, 2020, 0, YC230079OM, OM, CLOSED, 03/31/2010, 12/15/2011, GR, RXA-000810-19, NEW ROOF, 9600.00, 9600.00, 01/04/2010
309615, 181 AMITY ST BROOKLYN NY, 11201, 2020, 0, FO230041OM, OM, CLOSED, 03/17/2017, 10/05/2017, GP, ROM-00081-17, BOILER/BURNER, 25430.23, 24274.50, 10/26/2015
314320, 10 ARGYLE RD BROOKLYN NY, 11218, 2020, 0, ZC210022OM, OM, CLOSED, 03/07/2011, 07/13/2012, DE, RISF-00108-16, BOILER/BURNER, 140000.00, 0, 06/09/2008
